label,n_input,n_structure,U,p_MW,d,abs_d,obs_diff,p_perm,mean_in,mean_st,mag_in,mag_st,ratio,median_in,median_st,ratio_median
Pathway-only (global),119090,97674,7447011144.0,0.0,-0.5197944835874663,0.5197944835874663,-0.09485051879718653,0.0,0.8880364988328154,0.7931859800356289,0.11196350116718456,0.2068140199643711,1.8471557052825205,0.947618,0.876816,2.351647512504293
Pathway-only (GDSC2),39267,42459,1042451577.0,0.0,-0.5122850467026967,0.5122850467026967,-0.08172189539627162,0.0,0.9058947865383146,0.824172891142043,0.09410521346168543,0.17582710885795705,1.8684098615805633,0.946429,0.899363,1.878572361912227
Dose-matched (IQR),85538,51680,2744734654.0,0.0,-0.5014660007242049,0.5014660007242049,-0.0803680362213629,0.0,0.9005845568869976,0.8202165206656347,0.09941544311300243,0.17978347933436534,1.808405954897883,0.94957,0.905138,1.8810628594090828
Intra-input: sub vs supra,86821,32269,2743949653.0,0.0,-2.4980480348341647,2.4980480348341647,-0.24369486791122763,0.0,0.9540688247428617,0.7103739568316341,0.0459311752571383,0.28962604316836593,6.305652784779425,0.966647,0.761992,7.136029742451961
EGFR signaling,8607,3125,26645299.5,0.0,-2.882237466906808,2.882237466906808,-0.23782954431576175,0.0,0.9562703046357617,0.7184407603199999,0.04372969536423832,0.2815592396800001,6.438627969730981,0.968991,0.755675,7.879164113644438
ERK MAPK signaling,12645,5184,63319206.5,0.0,-2.2006649126799607,2.2006649126799607,-0.2390754028964015,0.0,0.9484065001186238,0.7093310972222223,0.05159349988137618,0.2906689027777777,5.633827971470899,0.960901,0.772583,5.8164403181667055
Hormone-related,5634,190,1053037.0,3.138751647108596e-114,-4.280946555462008,4.280946555462008,-0.13361957150197112,0.0,0.9648293872914447,0.8312098157894736,0.03517061270855526,0.16879018421052638,4.799182363105893,0.9746889999999999,0.8525705,5.82472047726283
Immune response,4288,708,2986261.5,0.0,-3.13681925296058,3.13681925296058,-0.1636067826255374,0.0,0.9583959351679103,0.7947891525423729,0.04160406483208967,0.20521084745762708,4.932471100740755,0.9724365,0.827744,6.249424057177071
JNK and p38 signaling,2403,1326,3175553.0,0.0,-2.592543008570939,2.592543008570939,-0.25138545841642124,0.0,0.9562043241781105,0.7048188657616893,0.04379567582188948,0.2951811342383107,6.739960708421732,0.969067,0.7491905,8.108153105098118
Metabolism,6220,3017,18691316.0,0.0,-2.414241937971617,2.414241937971617,-0.3319333791936795,0.0,0.954336924437299,0.6224035452436195,0.045663075562700994,0.3775964547563805,8.269185772164958,0.965178,0.700114,8.61196944460398
PI3K/MTOR signaling,10877,10100,107695074.0,0.0,-1.933218390748746,1.933218390748746,-0.23306828799410528,0.0,0.9362716335386596,0.7032033455445543,0.06372836646134039,0.2967966544554457,4.65721421928321,0.944333,0.7519100000000001,4.456679900120355
RTK signaling,26621,8283,212714537.5,0.0,-2.617925872176828,2.617925872176828,-0.22278208321673454,0.0,0.9569447997445626,0.734162716527828,0.04305520025543741,0.26583728347217195,6.174336244983544,0.969948,0.775645,7.465559696526029
WNT signaling,9526,336,3008110.0,7.687437310535943e-166,-4.053333221835582,4.053333221835582,-0.1166878957620997,0.0,0.9628544463573377,0.846166550595238,0.037145553642662255,0.15383344940476196,4.141369136253277,0.9702090000000001,0.848696,5.0788493169078075
