gene	ORF	class
15S_RRNA	YNCQ0002W	NONE
21S_RRNA	YNCQ0006W	NONE
AAC1	YMR056C	INPUT
AAC3	YBR085W	INPUT
AAD10	YJR155W	NONE
AAD14	YNL331C	NONE
AAD15	YOL165C	NONE
AAD3	YCR107W	NONE
AAD4	YDL243C	NONE
AAD6	YFL056C	NONE
AAH1	YNL141W	NONE
AAN1	YKL075C	NONE
AAP1	YHR047C	NONE
AAR2	YBL074C	NONE
AAT1	YKL106W	NONE
AAT2	YLR027C	NONE
ABD1	YBR236C	NONE
ABF1	YKL112W	STRUCTURE
ABF2	YMR072W	NONE
ABM1	YJR108W	NONE
ABP1	YCR088W	NONE
ABP140	YOR239W	NONE
ABZ1	YNR033W	NONE
ABZ2	YMR289W	NONE
ACA1	YER045C	NONE
ACB1	YGR037C	NONE
ACC1	YNR016C	NONE
ACE2	YLR131C	STRUCTURE
ACF2	YLR144C	STRUCTURE
ACF4	YJR083C	NONE
ACH1	YBL015W	NONE
ACK1	YDL203C	NONE
ACL4	YDR161W	STRUCTURE
ACM1	YPL267W	STRUCTURE
ACO1	YLR304C	NONE
ACO2	YJL200C	NONE
ACP1	YKL192C	NONE
ACS1	YAL054C	NONE
ACS2	YLR153C	NONE
ACT1	YFL039C	STRUCTURE
ADA2	YDR448W	STRUCTURE
ADD37	YMR184W	NONE
ADD66	YKL206C	NONE
ADE1	YAR015W	NONE
ADE12	YNL220W	NONE
ADE13	YLR359W	NONE
ADE16	YLR028C	NONE
ADE17	YMR120C	NONE
ADE2	YOR128C	NONE
ADE3	YGR204W	NONE
ADE4	YMR300C	NONE
ADE57	YGL234W	NONE
ADE6	YGR061C	NONE
ADE8	YDR408C	NONE
ADF1	YCL058W-A	NONE
ADH1	YOL086C	NONE
ADH2	YMR303C	NONE
ADH3	YMR083W	NONE
ADH4	YGL256W	NONE
ADH5	YBR145W	NONE
ADH6	YMR318C	NONE
ADH7	YCR105W	NONE
ADI1	YMR009W	NONE
ADK1	YDR226W	NONE
ADK2	YER170W	NONE
ADO1	YJR105W	NONE
ADP1	YCR011C	INPUT
ADR1	YDR216W	STRUCTURE
ADY2	YCR010C	INPUT
ADY3	YDL239C	STRUCTURE
ADY4	YLR227C	STRUCTURE
AEP1	YMR064W	NONE
AEP2	YMR282C	NONE
AEP3	YPL005W	NONE
AFB1	YLR040C	NONE
AFG1	YEL052W	INPUT
AFG2	YLR397C	STRUCTURE
AFG3	YER017C	NONE
AFI1	YOR129C	NONE
AFR1	YDR085C	NONE
AFT1	YGL071W	STRUCTURE
AFT2	YPL202C	NONE
AGA1	YNR044W	NONE
AGA2	YGL032C	NONE
AGC1	YPR021C	INPUT
AGE1	YDR524C	NONE
AGE2	YIL044C	NONE
AGP1	YCL025C	INPUT
AGP2	YBR132C	INPUT
AGP3	YFL055W	INPUT
AGX1	YFL030W	NONE
AHA1	YDR214W	STRUCTURE
AHC1	YOR023C	NONE
AHC2	YCR082W	NONE
AHK1	YDL073W	INPUT
AHP1	YLR109W	INPUT
AHT1	YHR093W	NONE
AI1		NONE
AI2		NONE
AI3		NONE
AI4		NONE
AI5_ALPHA		NONE
AI5_BETA		NONE
AIF1	YNR074C	NONE
AIM10	YER087W	NONE
AIM11	YER093C-A	NONE
AIM14	YGL160W	INPUT
AIM17	YHL021C	STRUCTURE
AIM18	YHR198C	NONE
